subID,sequenceCompleted_test,sequenceCompleted_reacquisition,sequenceCompleted_combined,at_least_one_response_test,at_least_one_response_reacquisition,at_least_one_response_combined,devaluation,stillVal_minus_deval,preVal_relativeDiff_deval,meanVal_minus_deval,meanVal_relativeDiff_deval,meanVal_relativeDiff_deval_SQRT,std_diary,normed_std_diary,SRM_score,mood,Anxiety,Stress,routine_mean
101.0,1.0,11.0,12.0,1.0,11.0,12.0,0.0,34.0,1.0,34.5,1.0,1.0,1281.6316187411971,0.5302202079962302,2.2,71.98529411764706,34.36764705882353,26.191176470588236,3.593137254901961
102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,966.5487202240332,0.4331835355057669,4.125,68.35714285714286,22.0,21.82857142857143,3.638095238095238
103.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0769230769230769,-1.0,-0.0909090909090909,-0.0455488498966776,761.5553036102723,0.3729774412590707,6.0,63.1,20.47142857142857,18.957142857142856,3.823809523809524
104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.6666666666666666,6.5,0.52,0.2804494996874905,1200.262011866147,0.5195146617991184,3.0588235294117645,68.45714285714286,14.714285714285714,14.814285714285717,4.095238095238096
105.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,9.0,1.0,8.0,1.0,1.0,1444.9883754571094,0.5959957612787173,1.8823529411764703,62.53623188405797,33.927536231884055,42.31884057971015,4.3768115942028984
106.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,26.0,0.7647058823529411,11.0,0.5789473684210527,0.3189151468336666,,,,90.72413793103448,3.896551724137931,9.327586206896552,5.902298850574712
107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.5,1.0,1.0,1376.074427547626,0.5553420089500288,1.9545454545454544,66.40298507462687,42.507462686567166,37.1044776119403,4.45771144278607
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.5,1.0,1.0,1065.0734260486147,0.4529307904275042,1.5714285714285714,70.609375,25.71875,15.90625,5.072916666666667
109.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.8620689655172413,15.5,0.7948717948717948,0.494699382825856,971.3167933371224,0.4629650739346425,3.0,86.63076923076923,3.3846153846153846,5.4,5.907692307692308
110.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,0.3333333333333333,2.0,0.125,0.0627460668062282,1014.8182773327866,0.4801142259387114,4.6,66.42857142857143,12.442857142857145,28.271428571428572,5.219047619047619
111.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.5,7.5,0.7894736842105263,0.4892064140206266,,,,82.91428571428571,11.314285714285717,11.242857142857142,3.942857142857143
112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.7142857142857143,2.5,0.5555555555555556,0.3033370452904234,1109.3914698606827,0.4868107546560808,4.3,54.96825396825397,44.492063492063494,47.17460317460318,4.9523809523809526
113.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,0.2,2.5,0.0276243093922651,0.0138147907243474,893.6332542238475,0.4337337371120927,5.533333333333333,79.74285714285715,20.02857142857143,20.685714285714287,4.871428571428571
114.0,7.0,2.0,9.0,8.0,4.0,12.0,3.0,28.0,0.8235294117647058,36.0,0.8571428571428571,0.5657414540893352,1324.7847193971654,0.579483704024306,2.592592592592593,63.01449275362319,39.130434782608695,41.47826086956522,4.285024154589372
115.0,0.0,10.0,10.0,1.0,11.0,12.0,3.0,39.0,0.8666666666666667,25.0,0.8064516129032258,0.5067878888070657,1352.127891801866,0.5749309652389951,3.8,53.76923076923077,38.56923076923077,38.09230769230769,4.246153846153846
118.0,1.0,5.0,6.0,2.0,6.0,8.0,15.0,35.0,0.5384615384615384,18.5,0.3814432989690721,0.1982149436259573,796.0906386152697,0.3879197835858127,8.307692307692308,91.84285714285714,1.8714285714285712,2.6,5.7
119.0,11.0,11.0,22.0,11.0,11.0,22.0,13.0,0.0,0.0,4.0,0.1333333333333333,0.0669656263407472,750.011386048773,0.3643718092606098,4.333333333333333,33.3968253968254,32.76190476190476,33.61904761904762,3.703703703703704
120.0,5.0,0.0,5.0,8.0,0.0,8.0,49.0,-24.0,-0.3243243243243243,-21.5,-0.2810457516339869,-0.143413052469274,,,,70.41269841269842,33.84126984126984,36.301587301587304,4.857142857142857
121.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.7894736842105263,12.5,0.7575757575757576,0.4583736308584794,1091.2635572353577,0.4942394735213563,2.210526315789474,59.05797101449275,38.95652173913044,38.26086956521739,4.2270531400966185
122.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.3333333333333333,10.0,0.3333333333333333,0.1715728752538098,1440.6797235734912,0.536598790129977,2.0,58.42028985507246,51.73913043478261,53.30434782608695,4.7101449275362315
123.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,0.7916666666666666,19.0,0.6551724137931034,0.3732156684101765,1233.268987596151,0.5601120608800791,2.0,78.625,30.921875,29.28125,5.098958333333333
124.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.2857142857142857,5.5,0.2156862745098039,0.1091274189131882,1190.3658133728518,0.5030854553206022,2.6,82.0,20.753846153846155,21.46153846153846,6.887179487179488
125.0,,,,,,,,,,,,,85.73214099741124,0.0603747471812755,5.0,,,,
