subID,std_diary,normed_std_diary,SRM_score
101.0,1281.6316187411971,0.5302202079962302,2.2
102.0,966.5487202240333,0.43318353550576694,4.125
103.0,761.5553036102723,0.37297744125907073,6.0
104.0,1200.262011866147,0.5195146617991185,3.0588235294117645
105.0,1444.9883754571094,0.5959957612787173,1.8823529411764706
107.0,1376.074427547626,0.5553420089500288,1.9545454545454546
108.0,1065.0734260486147,0.4529307904275042,1.5714285714285714
109.0,971.3167933371224,0.46296507393464253,3.0
110.0,1014.8182773327866,0.48011422593871145,4.6
112.0,1109.3914698606827,0.48681075465608087,4.3
113.0,893.6332542238475,0.43373373711209273,5.533333333333333
114.0,1324.7847193971654,0.579483704024306,2.5925925925925926
115.0,1352.127891801866,0.5749309652389951,3.8
117.0,1195.9877204036513,0.48433496179126473,3.0
118.0,796.0906386152697,0.3879197835858127,8.307692307692308
119.0,750.011386048773,0.3643718092606098,4.333333333333333
121.0,1091.2635572353577,0.49423947352135633,2.210526315789474
122.0,1440.6797235734912,0.536598790129977,2.0
