subID,corr,p_val,z_score
101,0.07419220439179953,0.010141739744239202,0.07432878567603153
102,0.4773069296367597,2.663018185214462e-69,0.5194908194090516
103,0.4315030013886194,1.3421854583593077e-55,0.46174209376031344
104,0.14617355331262313,3.663451310909827e-07,0.14722818968663304
105,0.30134292822984193,1.3026944296667498e-26,0.3109960042200046
106,0.4524448968223704,1.3232153355894767e-61,0.48777022476182513
107,0.21220893897675028,1.1005879670431389e-13,0.21548331997653766
108,0.4174794642910517,8.32280032049086e-52,0.4446355544849719
109,0.30381911175338006,4.8110660022801264e-27,0.3137217457053501
110,0.3654079168567585,3.265939536344636e-39,0.38311304972074767
111,0.6549939061549921,5.796679720272604e-148,0.78399526276429
112,0.304676621662782,3.399786743338349e-27,0.31466672981799937
113,0.15177944801541093,1.2712025394175607e-07,0.152961342343996
114,0.3091762896484266,5.393987059471968e-28,0.3196343815905374
115,0.37784902033674295,5.11106519116063e-42,0.3975480426835146
117,0.6180657951525013,2.3488589189853643e-127,0.7218692030668593
118,0.16694580136326787,5.954844514325558e-09,0.16852324203149052
119,0.617188671623711,6.716675700940163e-127,0.7204511401047599
120,0.3444900134890908,9.115824521122881e-35,0.3591782549827157
121,0.34801195829805465,1.7160532036172848e-35,0.3631799708816876
122,0.31609842485146367,2.9819439275598955e-29,0.3273064443611339
123,0.07921072764477806,0.006043809575274906,0.07937701911235322
124,0.2611035002366451,3.734778291657411e-20,0.26729227690411805
125,0.14584112400078042,3.8959805758091816e-07,0.14688851922799953
126,0.412973765381072,1.2622043109698868e-50,0.43919115218330285
127,0.5598170614956839,6.327056549140853e-100,0.6325667076314715
128,0.4995741266362337,9.380986951557646e-77,0.548738474291739
129,0.4710802671070988,2.587760567131498e-67,0.511457799391613
130,0.24006975775104974,3.421697082714989e-17,0.24484813535720398
131,0.3064863172936337,1.627669819948811e-27,0.3166628213104658
132,0.4276337196520024,1.5565330487935833e-54,0.45699723722657426
133,0.2615912371066457,3.1643980728296654e-20,0.26781576962115855
134,0.29019651953433917,1.024893644620269e-24,0.29878084141570227
135,0.6460885422162344,9.889322439422376e-143,0.7685552047756814
136,0.25931423872026793,6.839265196390964e-20,0.26537306764813845
137,0.42556867360199396,5.682760978544414e-54,0.45447276422116045
138,0.39003712414376734,6.903552468933074e-45,0.4118438188609517
139,0.18044090567409296,3.0564528223045286e-10,0.18243839537094134
140,0.3339215652082441,1.2047124453297665e-32,0.34723549724393143
141,0.2385677087353888,5.4360252550474496e-17,0.24325483197807643
142,0.24454545435540326,8.452563644307318e-18,0.24960301501436064
143,0.5760689336104472,4.9982938968820505e-107,0.6565590731586103
144,0.6325245283508018,4.3227218523767646e-135,0.7456131567237276
145,0.30379273126095074,4.862641177302415e-27,0.31369268276009443
148,-0.07148261496584435,0.01325592131470117,-0.07160474271477568
149,0.25642447269071217,1.799229326676597e-19,0.2622774508438792
152,0.16471337926419044,9.51618462675424e-09,0.1662276925151284
153,0.34018079173196614,6.832915698134172e-34,0.35429696620905043
154,0.24069074833372414,2.823073232383199e-17,0.2455072089983651
155,0.15692978973977745,4.6439060134553376e-08,0.1582374008004711
