subID,corr,p_val,z_score
101,0.45421004635161316,4.1022241649673175e-14,0.5083367340112075
102,0.49710796093938037,5.307432083224735e-22,0.5585264539992532
103,0.6887821206438817,4.042317183023904e-45,0.9184582885860411
104,0.48148885487685167,2.540633517519471e-34,0.5250645297942969
105,0.37910111024190374,6.278053987077792e-09,0.4109622391490162
106,0.40273259416470164,1.004710064570311e-12,0.4354919803855529
107,0.14222375655577338,0.47194640804425514,0.14638537941343396
108,0.7768983503590453,9.816340455618428e-118,1.0379637178955776
109,0.4740328602859627,6.367879308420262e-35,0.5152598247418354
110,0.7346277530170335,1.2095424274084142e-78,0.9553169483508885
111,0.5579546016623556,1.4624023367949867e-23,0.6658066126526773
112,0.07240662401901887,0.0014492657811065012,0.07539077739161251
113,0.27437453612731066,1.541463451485847e-08,0.2824172858479432
114,0.43530106144611297,2.760178993593065e-11,0.48710230449169134
115,0.6672404930244569,1.0327934172017332e-63,0.8120159701494942
117,0.7210781072340702,2.1977142271077596e-55,0.9828349473071203
118,0.4010786234865196,1.5723971984416e-24,0.42493582332000407
119,0.6504774044650083,6.150669007756277e-43,0.8128274884113644
120,0.3599290949663343,0.030370035664218354,0.4202278736548248
121,0.33740000506766454,7.111784700149804e-09,0.3562995844300285
122,0.3665751835257156,2.9604274917117526e-19,0.38456310333441623
