subID,corr,p_val,z_score
101,0.5378852410015651,6.076228447945276e-91,0.6011751376054751
102,0.22073320335207133,1.0418477075108778e-14,0.22442673512823663
103,0.5696964184758797,3.396361135163351e-104,0.6470732762441039
104,0.33483652650343143,7.952362572415301e-33,0.3482656380131864
105,0.3114715659049987,2.082914950766065e-28,0.32217425127604987
106,0.23998384030653092,3.51381033855893e-17,0.2447569653472053
107,0.34290357087736273,1.9207093001422512e-34,0.3573793065359454
108,0.602385161938281,2.0681531175031413e-119,0.6968823656276096
109,0.4614838486649922,2.4934262463024632e-64,0.49919502197262977
110,0.5612762147884474,1.5119738065434986e-100,0.6346944140033398
111,0.5723831222137941,2.210591121455841e-105,0.651060005187755
112,0.033987642901108936,0.23940337203144962,0.034000739032901614
113,0.18890732943146107,4.206875346222084e-11,0.19120381955195492
114,0.534261978057845,1.601969736759915e-89,0.5960907284905945
115,0.4210764517701552,9.216222576813352e-53,0.4489997501176578
117,0.6076372699167916,5.057930681036216e-122,0.7051670510512654
118,0.3586609608006946,9.65126817531437e-38,0.3753483333301806
119,0.8166446465675101,2.924088643617557e-288,1.146660192891317
120,0.3600297591430125,4.887556301406987e-38,0.37692009180091757
121,0.45846394527447665,2.0715132817829804e-63,0.4953647106526347
122,0.2256905508619572,2.5266814308662505e-15,0.2296440401818462
