subID,L_SMA_L_post_putamen,R_SMA_R_post_putamen,L_premotor_L_post_putamen,R_premotor_R_post_putamen,L_anterior_caudate_vmpfc,R_anterior_caudate_vmpfc,L_vlpfc_L_post_putamen,R_vlpfc_R_post_putamen,L_vlpfc_L_anterior_putamen,R_vlpfc_R_anterior_putamen,L_vlpfc_L_anterior_caudate,R_vlpfc_R_anterior_caudate,R_frontopolar_R_anterior_caudate,R_frontopolar_R_post_putamen,R_post_putamen_L_post_putamen,R_anterior_caudate_L_anterior_caudate
101,0.8617047499115282,0.9996134119610274,0.8037471113630774,1.0940741352600498,0.16496244181541558,0.17701875020599483,0.18193276756092538,0.7355866401168737,0.04822498274591111,0.5021053796066275,0.3100971764357511,0.5083367340112075,0.544146027393976,0.6300426865515669,0.85417137159148,0.9000716224600256
102,0.8107006465194596,0.7582019210574069,0.8195125444361033,0.9314938062751723,0.48795978834110454,0.3805957579096564,0.46001374408740825,0.5097183799626165,0.5209518771907198,0.6527244404730692,0.5523953564701604,0.5585264539992532,0.4599347076978647,0.2039489951006585,0.5980958318397676,0.9039518714907159
103,0.8737765614510693,1.0969935606274883,0.954002688299801,1.029812094597895,0.8565117078649567,0.8973860926368058,0.6748910845187305,0.5081102152190551,0.4685379836297783,0.6337222521587906,0.583723949623293,0.9184582885860411,0.8294675436115907,0.6282934319942677,1.016094352011387,1.0211934386967743
104,0.7040796512150089,0.6281463758345532,0.5504603758966439,0.6079731465117693,0.23518408912147698,0.15650456118536593,0.1670358551646854,0.5159355135860414,0.1344389214149387,0.40785882287174474,0.37456861654573637,0.5250645297942969,0.48788503494828706,0.3414690034084782,1.0589848099569286,0.7422200341170253
105,0.46979597576747234,0.3809843879720976,0.4734599170235748,0.4969495465708926,0.42321678875172364,0.33540381815970377,0.3752240908950525,0.5105281592437959,0.3087758867436891,0.3583259105596922,0.45201179937414737,0.4109622391490162,0.4025098218253637,0.3392426806346823,0.8934983329756534,1.3228266708223155
106,0.6182756054579137,0.6227090430265544,0.6404552968994063,0.39337243926637255,0.39977824785872573,0.39659050707390214,0.617641102061741,0.2520317215355287,0.4835149559725714,0.4082891952040637,0.45877753196146176,0.4354919803855529,0.6210207063852784,0.23659688884605626,0.6074548190006249,0.6778786866380686
107,0.8589216199038449,0.7345998011569538,0.9147827937332731,0.8250368222071671,0.282838226855447,0.3474318366353807,0.2616088303438985,0.09600433792278261,0.22819960966599628,-0.08796640453229279,0.33575646890636557,0.14638537941343396,0.6389447865003203,0.3846635810780491,0.7549736082739453,0.9985916543334175
108,0.8243342656602571,0.9667735001015947,0.9753036977045122,1.10790424105597,0.9415164812791669,1.119976500415762,0.4943746917177858,0.9635472475778063,0.4976218789333386,0.8760697387657268,0.7352406317734159,1.0379637178955776,0.9485431975164675,0.7300177556548759,0.7845450683968702,1.5227198129139015
109,0.6477287897808313,0.7435057050642812,0.621090722276683,0.8908401935060841,0.3234589759247261,0.32211796303601337,0.36928983042641716,0.6450063098644268,0.3036620363136955,0.5480138525430893,0.5193550529281776,0.5152598247418354,0.510091749442814,0.5621723142966328,0.8038520208833172,0.7794381515456965
110,0.9315765938372467,0.9254779009585824,0.8940332335420278,1.148455504983366,0.5895806580949645,0.72073603838036,0.4017997548696747,0.8244534639155758,0.3675335262188427,0.6663870269622024,0.5690566037399812,0.9553169483508885,0.6676357881071479,0.6434065033899576,0.9093828759135535,1.1373530779881778
