subID,corr,p_val,z_score
101,0.6656725943807635,1.6138321406206745e-72,0.8037471113630774
102,0.6544614538783975,4.702161000720323e-44,0.8195125444361033
103,0.7128221843244797,5.524862781318234e-55,0.954002688299801
104,0.4977669732688926,1.201542312738607e-28,0.5504603758966439
105,0.4402606458309083,3.1398673803339765e-25,0.4734599170235748
106,0.5648881410564768,4.631449171861466e-48,0.6404552968994063
107,0.7231618929351691,1.732026233794224e-93,0.9147827937332731
108,0.7283332877858294,4.522981556600507e-63,0.9753036977045122
109,0.536769389586826,1.6752508217308944e-24,0.621090722276683
110,0.7098026577821894,1.2640054066160703e-76,0.8940332335420278
111,0.7734022701950078,8.830153817574144e-101,1.038413181233211
112,0.33848865468610967,0.00029840873044173537,0.37045885693485153
113,0.5222546678795611,1.9661695482617528e-18,0.6133699150350165
114,0.5848925754502831,6.2208225376892574e-52,0.6704714174874112
115,0.6538438025717468,8.839099293615726e-54,0.7956768636744906
117,0.8184185058500832,4.448293095526066e-124,1.1634267647281336
118,0.4888788893396581,3.1620032304929783e-19,0.5511073502577992
119,0.8032012554143027,2.892448161524436e-117,1.1164448751491007
120,0.5687419705162962,1.47400440200753e-14,0.7571454049905679
121,0.7037841537308495,7.558080578215413e-63,0.900142159149157
122,0.5055700076846297,1.74305415212135e-25,0.566061786670223
