subID,corr,p_val,z_score
101,0.4899193222595869,7.429265528841371e-24,0.544146027393976
102,0.4236744012400409,1.799302700054329e-15,0.4599347076978647
103,0.6719139883847571,5.378314562532734e-58,0.8294675436115907
104,0.4517106467298089,1.6911586057758658e-26,0.48788503494828706
105,0.3552092727127818,0.003876417642235566,0.4025098218253637
106,0.551060370695055,4.029928405715833e-43,0.6210207063852784
107,0.5539709093787157,1.8880114832197558e-30,0.6389447865003203
108,0.7381585169920504,7.121938882796269e-95,0.9485431975164675
109,0.4681215431086041,2.7098487588786834e-26,0.510091749442814
110,0.5834173402917238,1.0087461486748626e-55,0.6676357881071479
111,0.7391935680198962,2.0147934152684778e-92,0.9523952948207756
112,0.42586962885819957,8.043757911646398e-10,0.47741120426874994
113,0.37701365558158234,2.1368526267247005e-14,0.3995025287995255
114,0.6959992405514699,1.5181288520689673e-85,0.8596750203306713
115,0.6729875180284304,3.524211807754442e-54,0.8393265213281375
117,0.680226261117641,1.3998843461753272e-55,0.8543763922204669
118,0.4501558592711363,8.427794208653498e-28,0.48540245630362744
119,0.5538315614326269,6.687112990173426e-14,0.7184884141529977
120,0.48406946110254134,6.840465572745491e-21,0.539898610038215
121,0.537673055207912,1.0105992863675453e-42,0.6013064981764675
122,0.42070208424351063,6.340018012841165e-20,0.45097314711785946
